rating,user_item
3,1_61
3,1_33
3,1_171
3,1_265
3,1_113
2,1_266
3,1_70
3,1_27
3,1_159
3,1_6
2,1_104
3,1_49
4,1_96
3,1_233
2,1_78
3,1_175
3,1_107
2,1_259
3,1_108
3,1_163
3,1_201
4,1_242
3,1_241
2,1_130
3,1_24
3,1_86
3,1_196
3,1_73
4,1_190
3,1_214
3,1_102
4,1_170
3,1_38
4,1_187
4,1_166
2,1_138
3,1_269
3,1_270
3,1_205
3,1_99
3,1_1
2,1_34
3,1_271
4,1_181
3,1_131
3,1_182
4,1_192
3,1_87
3,1_238
3,1_167
3,1_115
4,1_79
4,1_45
3,1_42
4,1_165
4,1_198
3,1_58
3,1_216
3,1_244
2,1_29
4,1_59
3,1_111
3,1_88
4,1_172
3,1_152
3,2_290
3,2_305
3,2_306
3,2_269
4,2_285
3,3_337
3,3_332
3,3_328
3,3_334
3,3_350
3,3_324
3,3_348
3,3_342
2,3_352
2,3_325
3,4_359
1,5_439
1,5_424
3,5_102
3,5_211
2,5_231
2,5_407
2,5_384
3,5_426
2,5_453
3,5_241
2,5_40
3,5_90
3,5_230
4,5_79
3,5_144
2,5_243
3,5_393
3,5_428
3,5_214
3,5_451
3,5_430
3,5_186
3,5_432
2,5_456
2,5_452
4,5_172
3,5_414
3,5_250
2,5_450
2,5_374
2,5_446
3,5_419
3,6_14
3,6_492
4,6_478
3,6_532
3,6_475
3,6_209
3,6_19
3,6_523
3,6_432
3,6_133
3,6_70
4,6_197
3,6_193
3,6_486
4,6_56
3,6_518
3,6_534
4,6_100
4,6_480
3,6_494
4,6_22
2,6_259
3,6_137
4,6_174
4,6_505
4,6_516
3,6_186
3,6_177
4,6_168
4,6_185
3,6_502
4,6_89
3,6_7
3,6_491
3,6_257
4,6_223
3,6_340
3,6_306
4,6_285
3,6_111
2,6_539
4,6_490
3,6_202
3,7_32
4,7_479
3,7_497
3,7_378
3,7_472
3,7_623
3,7_674
3,7_151
3,7_643
3,7_650
3,7_196
2,7_560
3,7_133
3,7_193
3,7_627
3,7_300
3,7_526
3,7_92
4,7_168
3,7_432
4,7_657
3,7_142
3,7_423
3,7_208
3,7_618
4,7_498
1,7_669
3,7_101
4,7_136
4,7_484
3,7_154
3,7_562
4,7_191
3,7_227
3,7_514
2,7_396
3,7_121
3,7_448
4,7_482
2,7_264
3,7_389
3,7_334
2,7_579
2,7_259
4,7_496
4,7_515
3,7_491
3,7_499
3,7_216
3,7_588
3,7_201
4,7_611
3,7_229
3,7_616
3,7_77
3,7_405
4,7_56
2,7_552
3,7_613
3,7_47
3,7_157
2,7_590
2,7_585
3,7_436
3,7_73
1,7_545
3,7_605
4,7_606
3,7_544
3,7_649
3,7_356
3,7_568
3,7_470
3,7_180
3,7_546
3,7_443
3,7_602
2,7_586
3,7_365
3,7_39
3,7_125
4,7_427
4,7_318
3,7_265
2,7_415
4,7_197
4,7_12
3,7_421
4,7_50
4,7_357
3,7_521
4,7_173
3,7_367
2,7_598
1,8_457
3,8_301
3,8_518
4,8_181
3,8_403
3,8_55
3,9_521
4,9_483
3,10_16
3,10_486
4,10_100
4,10_488
4,10_124
3,10_4
4,10_64
3,10_385
3,10_160
3,10_176
3,10_435
3,10_371
3,10_269
3,10_195
3,10_13
4,10_199
3,10_710
4,10_603
4,10_127
4,10_474
3,10_82
3,10_510
4,10_357
3,10_161
3,10_697
3,10_157
4,10_302
4,10_694
4,10_606
3,10_221
3,10_432
3,10_274
3,10_33
4,10_174
3,10_182
4,10_134
3,10_462
4,10_513
4,10_60
4,10_185
3,10_276
4,10_192
3,10_470
4,10_23
2,10_700
3,10_707
3,10_686
3,10_9
3,11_723
3,11_312
1,11_743
3,11_428
3,11_90
3,11_47
3,11_721
3,11_739
3,11_663
2,11_395
4,11_194
3,11_109
4,11_191
3,11_258
4,11_654
4,11_57
3,11_692
3,11_508
2,11_719
3,11_237
3,11_544
3,11_731
3,11_662
3,11_646
3,11_724
3,11_54
2,11_401
3,11_52
3,11_58
4,11_213
4,12_96
3,12_97
3,12_204
4,12_191
3,12_28
3,12_200
4,12_318
3,12_392
3,12_159
3,12_161
3,12_88
3,13_526
2,13_809
2,13_823
3,13_121
2,13_308
3,13_66
4,13_320
3,13_848
3,13_97
3,13_570
3,13_844
